10.7.66.3     33333

总控全开     F1 01 01
总控全关     F1 01 02
总控互动不开     F1 01 03

照明全开     F2 01 01
照明全关     F2 01 02
一厅照明全开     F2 02 01
二厅照明全开     F2 02 02
三厅照明全开     F2 02 03
一厅照明全关     F2 02 04
二厅照明全关     F2 02 05
三厅照明全关     F2 02 06

设备全开     F3 01 01
设备全关     F3 01 02
一厅设备全开     F3 02 01
二厅设备全开     F3 02 02
三厅设备全开     F3 02 03
一厅设备全关     F3 02 04
二厅设备全关     F3 02 05
三厅设备全关     F3 02 06

一厅照明
序厅党徽开                          F4 01 01
序厅圆灯开                          F4 01 02
序厅发光字开                      F4 01 03
前言轨道灯开                      F4 01 04
训令轨道灯开                      F4 01 05
军队建设轨道灯开              F4 01 06
灯箱+背景灯+站位灯箱开 F4 01 07
北一展柜开                          F4 01 08
草地轨道灯开                      F4 01 09
三湾轨道灯开                      F4 01 0A
古田会议+军魂开               F4 01 0B
抗疫轨道灯开                      F4 01 0C
军魂轨道灯开                     F4 01 0D
砺三军灯箱开                     F4 01 0E
砺三军展柜开                     F4 01 0F
抗疫通柜开                         F4 01 10
中间北展柜1开                   F4 01 11
中间北展柜2开                   F4 01 12
东+中间南展柜开               F4 01 13
门头灯开                             F4 01 14
序厅党徽关                         F4 02 01
序厅圆灯关                          F4 02 02
序厅发光字关                      F4 02 03
前言轨道灯关                     F4 02 04
训令轨道灯关                     F4 02 05
军队建设轨道灯关              F4 02 06
灯箱+背景灯+站位灯箱关 F4 02 07
北一展柜关                         F4 02 08
草地轨道灯关                       F4 02 09
三湾轨道灯关                         F4 02 0A
古田会议+军魂关                    F4 02 0B
抗疫轨道灯关                             F4 02 0C
军魂轨道灯关                              F4 02 0D
砺三军灯箱关                             F4 02 0E
砺三军展柜关                            F4 02 0F
抗疫通柜关                                F4 02 10
中间北展柜1关                              F4 02 11
中间北展柜2关                              F4 02 12
 东+中间南展柜关                         F4 02 13
门头灯关                                        F4 02 14

一厅设备电源
签名留言台电源+电视开             F4 03 01
签名留言显示器开                       F4 03 02
北二展柜+火电脑开                    F4 03 03
三台电视开                                  F4 03 04
南三电视开                                  F4 03 05
草地投影开                                  F4 03 06
签名留言台电源+电视关             F4 04 01
签名留言显示器关                       F4 04 02
北二展柜+火电脑关                    F4 04 03
三台电视关                                  F4 04 04
南三电视关                                  F4 04 05
草地投影关                                  F4 04 06

二厅照明
三大原则轨道灯开                   F5 01 01
十大政策轨道灯开                   F5 01 02
西北轨道灯1开                        F5 01 03
西北轨道灯2开                        F5 01 04
拉膜灯箱1开                            F5 01 05
拉膜灯箱2开                             F5 01 06
东北轨道灯1开                        F5 01 07
东北轨道灯2开                         F5 01 08
东北轨道灯3开                         F5 01 09
东南轨道灯开                             F5 01 0A
